event_id,scenario,correct_match,expected_status,expected_reason
E0424,missing_bank,NONE,EXCEPTION,Corresponding bank record is missing.
E0425,refund,TXN0425,MATCH,Settlement difference is explained by refund.
E0426,exact_match,TXN0426,MATCH,Records agree.
E0427,exact_match,TXN0427,MATCH,Records agree.
E0428,missing_bank,NONE,EXCEPTION,Corresponding bank record is missing.
E0429,reference_typo,TXN0429,MATCH,Reference contains a minor formatting difference.
E0430,missing_bank,NONE,EXCEPTION,Corresponding bank record is missing.
E0431,fee_difference,TXN0431,MATCH,Settlement difference is explained by processing fee.
E0432,missing_bank,NONE,EXCEPTION,Corresponding bank record is missing.
E0433,exact_match,TXN0433,MATCH,Records agree.
E0434,exact_match,TXN0434,MATCH,Records agree.
E0435,multiple_settlements,TXN0435,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0436,exact_match,TXN0436,MATCH,Records agree.
E0437,exact_match,TXN0437,MATCH,Records agree.
E0438,fee_difference,TXN0438,MATCH,Settlement difference is explained by processing fee.
E0439,exact_match,TXN0439,MATCH,Records agree.
E0440,refund,TXN0440,MATCH,Settlement difference is explained by refund.
E0441,refund,TXN0441,MATCH,Settlement difference is explained by refund.
E0442,exact_match,TXN0442,MATCH,Records agree.
E0443,fee_difference,TXN0443,MATCH,Settlement difference is explained by processing fee.
E0444,amount_mismatch,NONE,EXCEPTION,Amount difference cannot be explained by known adjustments.
E0445,refund,TXN0445,MATCH,Settlement difference is explained by refund.
E0446,date_shift,TXN0446,MATCH,Settlement occurred within the allowed date window.
E0447,exact_match,TXN0447,MATCH,Records agree.
E0448,partial_payment,TXN0448,HUMAN_REVIEW,Payment covers only part of the invoice.
E0449,refund,TXN0449,MATCH,Settlement difference is explained by refund.
E0450,exact_match,TXN0450,MATCH,Records agree.
E0451,fee_difference,TXN0451,MATCH,Settlement difference is explained by processing fee.
E0452,partial_payment,TXN0452,HUMAN_REVIEW,Payment covers only part of the invoice.
E0453,exact_match,TXN0453,MATCH,Records agree.
E0454,exact_match,TXN0454,MATCH,Records agree.
E0455,amount_mismatch,NONE,EXCEPTION,Amount difference cannot be explained by known adjustments.
E0456,exact_match,TXN0456,MATCH,Records agree.
E0457,exact_match,TXN0457,MATCH,Records agree.
E0458,fee_difference,TXN0458,MATCH,Settlement difference is explained by processing fee.
E0459,refund,TXN0459,MATCH,Settlement difference is explained by refund.
E0460,exact_match,TXN0460,MATCH,Records agree.
E0461,date_shift,TXN0461,MATCH,Settlement occurred within the allowed date window.
E0462,refund,TXN0462,MATCH,Settlement difference is explained by refund.
E0463,refund,TXN0463,MATCH,Settlement difference is explained by refund.
E0464,amount_mismatch,NONE,EXCEPTION,Amount difference cannot be explained by known adjustments.
E0465,exact_match,TXN0465,MATCH,Records agree.
E0466,exact_match,TXN0466,MATCH,Records agree.
E0467,exact_match,TXN0467,MATCH,Records agree.
E0468,exact_match,TXN0468,MATCH,Records agree.
E0469,exact_match,TXN0469,MATCH,Records agree.
E0470,date_shift,TXN0470,MATCH,Settlement occurred within the allowed date window.
E0471,exact_match,TXN0471,MATCH,Records agree.
E0472,reference_typo,TXN0472,MATCH,Reference contains a minor formatting difference.
E0473,multiple_settlements,TXN0473,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0474,reference_typo,TXN0474,MATCH,Reference contains a minor formatting difference.
E0475,amount_mismatch,NONE,EXCEPTION,Amount difference cannot be explained by known adjustments.
E0476,multiple_settlements,TXN0476,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0477,amount_mismatch,NONE,EXCEPTION,Amount difference cannot be explained by known adjustments.
E0478,fee_difference,TXN0478,MATCH,Settlement difference is explained by processing fee.
E0479,exact_match,TXN0479,MATCH,Records agree.
E0480,date_shift,TXN0480,MATCH,Settlement occurred within the allowed date window.
E0481,partial_payment,TXN0481,HUMAN_REVIEW,Payment covers only part of the invoice.
E0482,refund,TXN0482,MATCH,Settlement difference is explained by refund.
E0483,exact_match,TXN0483,MATCH,Records agree.
E0484,missing_bank,NONE,EXCEPTION,Corresponding bank record is missing.
E0485,exact_match,TXN0485,MATCH,Records agree.
E0486,amount_mismatch,NONE,EXCEPTION,Amount difference cannot be explained by known adjustments.
E0487,exact_match,TXN0487,MATCH,Records agree.
E0488,date_shift,TXN0488,MATCH,Settlement occurred within the allowed date window.
E0489,date_shift,TXN0489,MATCH,Settlement occurred within the allowed date window.
E0490,date_shift,TXN0490,MATCH,Settlement occurred within the allowed date window.
E0491,exact_match,TXN0491,MATCH,Records agree.
E0492,reference_typo,TXN0492,MATCH,Reference contains a minor formatting difference.
E0493,amount_mismatch,NONE,EXCEPTION,Amount difference cannot be explained by known adjustments.
E0494,multiple_settlements,TXN0494,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0495,exact_match,TXN0495,MATCH,Records agree.
E0496,multiple_settlements,TXN0496,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0497,exact_match,TXN0497,MATCH,Records agree.
E0498,reference_typo,TXN0498,MATCH,Reference contains a minor formatting difference.
E0499,partial_payment,TXN0499,HUMAN_REVIEW,Payment covers only part of the invoice.
E0500,fee_difference,TXN0500,MATCH,Settlement difference is explained by processing fee.
